°C,Ω
0.00,100.00 
10.00,103.90 
20.00,107.79 
30.00,111.67 
40.00,115.54 
50.00,119.40 
60.00,123.24 
70.00,127.08 
80.00,130.90 
90.00,134.71 
100.00,138.51 
110.00,142.29 
120.00,146.07 
130.00,149.83 
140.00,153.58 
150.00,157.33 
160.00,161.05 
170.00,164.77 
180.00,168.48 
190.00,172.17 
200.00,175.86 
210.00,179.53 
220.00,183.19 
230.00,186.84 
240.00,190.47 
250.00,194.10 
260.00,197.71 
270.00,201.31 
280.00,204.90 
290.00,208.48 
300.00,212.05 
310.00,215.61 
320.00,219.15 
330.00,222.68 
340.00,226.21 
350.00,229.72 
360.00,233.21 
370.00,236.70 
380.00,240.18 
390.00,243.64 
400.00,247.09 
410.00,250.53 
420.00,253.96 
430.00,257.38 
440.00,260.78 
450.00,264.18 
460.00,267.56 
470.00,270.93 
480.00,274.29 
490.00,277.64 
500.00,280.98 
